trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",35,0,-30.094809606346683,"{0: 23, 1: 11, 2: 1, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-8.780890986515502,"{0: 14, 1: 6, 2: 0, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,14.515455746256672,"{0: 22, 1: 3, 2: 0, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,6,21.397579020487896,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-36.10306014428298,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-34.42461555743579,"{0: 17, 1: 4, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,17.68885001849582,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,12,-1.9968720904009336,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,6.967526703122814,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,3,-87.27300627758599,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 2}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",35,9,-126.90289561748048,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 2}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",25,0,-100.90074515453726,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,16,-43.427834781466494,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-131.8927305467187,"{0: 12, 1: 0, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-37.21386711883735,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-70.34238777561404,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,7,-70.61699366191688,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,0,-66.62979369083124,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-291.74977907089004,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 6}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-126.71368895548974,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
1,True,"{'a': 0.5, 'e': 0.0}",20,1,10.8906796603568,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0.5, 'e': 0.0}",30,0,0.607495937594204,"{0: 25, 1: 4, 2: 0, 3: 1, 4: 0}",0
3,True,"{'a': 0.5, 'e': 0.0}",20,0,13.223959679762167,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.5, 'e': 0.0}",25,10,11.428117409209987,"{0: 13, 1: 2, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0.5, 'e': 0.0}",20,0,20.486125907102718,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 0.0}",20,0,-9.903435647070879,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
7,True,"{'a': 0.5, 'e': 0.0}",20,0,5.600384051805096,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 0.0}",25,9,25.149496613811166,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 0.0}",20,8,14.679024425385812,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.5, 'e': 0.0}",30,0,38.06442428870786,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",1
