trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,5,-169.97884466996445,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.9801}",30,0,-93.28221817130432,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.970299}",20,0,-71.1375401541286,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",30,0,-86.68488000599498,"{0: 20, 1: 4, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-94.03644848962269,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",20,0,-45.823383852628275,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",30,0,-183.83064839406669,"{0: 15, 1: 3, 2: 7, 3: 4, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-177.18072173422712,"{0: 10, 1: 3, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",30,0,-99.55114643501827,"{0: 25, 1: 0, 2: 1, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",30,0,-63.84249564721106,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",25,0,-95.72093010555321,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-95.92437408410065,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",20,0,-103.91089379289232,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",20,0,-88.59885082490149,"{0: 12, 1: 0, 2: 6, 3: 2, 4: 0}",0
