trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-52.352521535069755,"{0: 18, 1: 3, 2: 2, 3: 2, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-164.18910328659967,"{0: 13, 1: 5, 2: 3, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.50637121981589,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-103.84997350115756,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-88.61616581117623,"{0: 20, 1: 5, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-81.57205596552839,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-93.77680232492126,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-74.93278872591993,"{0: 23, 1: 3, 2: 1, 3: 2, 4: 1}",1
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-114.55143566866647,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.7782405444197,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.63959190256071,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-77.10514044636496,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.06012027828166,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 3}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-43.48603592877541,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-103.48297835086534,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-106.91122705255567,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,2,-38.67505708283228,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-213.95307707464303,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-83.98154885938271,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-110.70723771997694,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-85.35576792489279,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-159.34154276082066,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-67.94954372854151,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-13.532093477506326,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-91.55967201932896,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-72.20878300251609,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,7,-60.71612917972962,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 1}",1
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-173.2520339729745,"{0: 7, 1: 1, 2: 8, 3: 3, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,4,-152.97441457190527,"{0: 6, 1: 1, 2: 6, 3: 1, 4: 2}",1
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-94.93046965908404,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
